age_days,variable,q05,q50,q95
7.0,scalar__num_iterations,594,453,233
7.0,scalar__pE,6.870145398093212,6.902967079421334,7.247644890306413
7.0,scalar__pH,13.47741410814845,13.45323602563034,13.114996338563484
7.0,scalar__pressure,100000.0,100000.0,100000.0
7.0,scalar__system_enthalpy,0.0,0.0,0.0
7.0,scalar__system_entropy,0.0,0.0,0.0
7.0,scalar__system_gibbs_energy,-444.6446934009502,-475.1764675126856,-503.1548627142491
7.0,scalar__system_heat_capacity_const_p,0.0,0.0,0.0
7.0,scalar__system_mass,0.0845127771471336,0.089651582400377,0.0943855638569592
7.0,scalar__system_volume,5.809903528584032e-05,5.927948753064582e-05,6.04022568559345e-05
7.0,scalar__temperature,293.15,293.15,293.15
7.0,scalar__water_activity,0.0,0.0,0.0
28.0,phase_mass__Al(OH)3am,0.0,0.0,0.0
28.0,phase_mass__Anhydrite,0.0,0.0,0.0
28.0,phase_mass__Aragonite,0.0,0.0,0.0
28.0,phase_mass__Brucite,0.0009941729284138,0.0,0.0
28.0,phase_mass__C2AH75,0.0,0.0,0.0
28.0,phase_mass__C2ASH55,0.0,0.0,0.0
28.0,phase_mass__C3(AF)S0.84H,0.0071831604192708,0.0089830470510972,0.0107597782886126
28.0,phase_mass__C3AH6,0.0,0.0,0.0
28.0,phase_mass__C4AH11,0.0,0.0,0.0
28.0,phase_mass__C4AH13,0.0,0.0,0.0
28.0,phase_mass__C4AH19,0.0,0.0,0.0
28.0,phase_mass__C4Ac0.5H105,0.0,0.0,0.0
28.0,phase_mass__C4Ac0.5H12,0.0,0.0,0.0
28.0,phase_mass__C4Ac0.5H9,0.0,0.0,0.0
28.0,phase_mass__C4AcH11,0.0,0.0,0.0
28.0,phase_mass__C4AcH9,0.0,0.0,0.0
28.0,phase_mass__C4AsH105,0.0,0.0,0.0
28.0,phase_mass__C4AsH12,0.0,0.0,0.0
28.0,phase_mass__C4AsH14,0.0,0.0,0.0
28.0,phase_mass__C4AsH16,0.0,0.0,0.0
28.0,phase_mass__C4AsH9,0.0,0.0,0.0
28.0,phase_mass__C6AsH13,0.0,0.0,0.0
28.0,phase_mass__C6AsH9,0.0,0.0,0.0
28.0,phase_mass__CAH10,0.0,0.0,0.0
28.0,phase_mass__CO3_SO4_AFt,0.0,0.0,0.0
28.0,phase_mass__CSHQ,0.0428844594797038,0.0505400714158167,0.0492010119134165
28.0,phase_mass__Calcite,0.0,0.0,0.0
28.0,phase_mass__Friedels,0.0,0.0,0.0
28.0,phase_mass__Gypsum,0.0,0.0,0.0
28.0,phase_mass__Kuzels,0.0,0.0,0.0
28.0,phase_mass__MSH,0.0,0.0,0.0
28.0,phase_mass__MgAl-OH-LDH,0.0007300836495647,0.0025971409646086,0.0027611302252271
28.0,phase_mass__Na-oxide,0.0,0.0,0.0
28.0,phase_mass__OH_SO4_AFm,0.0097065983851208,0.0106044158537292,0.0
28.0,phase_mass__Portlandite,0.0086161776943168,0.0,0.0
28.0,phase_mass__SO4_CO3_AFt,0.0,0.0,0.0
28.0,phase_mass__SO4_OH_AFm,0.0097065983851208,0.0106044158537292,0.0
28.0,phase_mass__Silica-amorph,0.0,0.0,0.0
28.0,phase_mass__Sulphur,0.0,0.0,0.0
28.0,phase_mass__aq_gen,0.0285142224142889,0.0245659239832613,0.0199707099171887
28.0,phase_mass__arcanite,0.0,0.0,0.0
28.0,phase_mass__ettringite,0.0,0.0,0.0113048768174849
28.0,phase_mass__gas_gen,0.0,0.0,0.0
28.0,phase_mass__hemihydrate,0.0,0.0,0.0
28.0,phase_mass__straetlingite,0.0,0.0077065157000666,0.0288555684787319
28.0,phase_mass__thenardite,0.0,0.0,0.0
28.0,phase_volume__Al(OH)3am,0.0,0.0,0.0
28.0,phase_volume__Anhydrite,0.0,0.0,0.0
28.0,phase_volume__Aragonite,0.0,0.0,0.0
28.0,phase_volume__Brucite,0.0,0.0,0.0
28.0,phase_volume__C2AH75,0.0,0.0,0.0
28.0,phase_volume__C2ASH55,0.0,0.0,0.0
28.0,phase_volume__C3(AF)S0.84H,2.4456061301793714e-06,3.058598290190963e-06,3.6633714507548698e-06
28.0,phase_volume__C3AH6,0.0,0.0,0.0
28.0,phase_volume__C4AH11,0.0,0.0,0.0
28.0,phase_volume__C4AH13,0.0,0.0,0.0
28.0,phase_volume__C4AH19,0.0,0.0,0.0
28.0,phase_volume__C4Ac0.5H105,0.0,0.0,0.0
28.0,phase_volume__C4Ac0.5H12,0.0,0.0,0.0
28.0,phase_volume__C4Ac0.5H9,0.0,0.0,0.0
28.0,phase_volume__C4AcH11,0.0,0.0,0.0
28.0,phase_volume__C4AcH9,0.0,0.0,0.0
28.0,phase_volume__C4AsH105,0.0,0.0,0.0
28.0,phase_volume__C4AsH12,0.0,0.0,0.0
28.0,phase_volume__C4AsH14,0.0,0.0,0.0
28.0,phase_volume__C4AsH16,0.0,0.0,0.0
28.0,phase_volume__C4AsH9,0.0,0.0,0.0
28.0,phase_volume__C6AsH13,0.0,0.0,0.0
28.0,phase_volume__C6AsH9,0.0,0.0,0.0
